mode,ox/red,error,control changes,Ns changes,counter inc.,Ns,I Range,time/s,control/V/mA,Ecell/V,I/mA,dq/mA.h,(Q-Qo)/mA.h,|Energy|/W.h,freq/Hz,|Z|/Ohm,Phase(Z)/deg,Q charge/discharge/mA.h,half cycle,Energy charge/W.h,Energy discharge/W.h,Capacitance charge/µF,Capacitance discharge/µF,step time/s,z cycle,Re(Z)/Ohm,#NAME?,Re(Y)/Ohm-1,Im(Y)/Ohm-1,|Y|/Ohm-1,Phase(Y)/deg,x,Q discharge/mA.h,Q charge/mA.h,Capacity/mA.h,Efficiency/%,control/V,control/mA,cycle number,P/W,R/Ohm
3,0,0,0,1,0,0,115,0.00E+00,0.00E+00,3.14E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1,0,0,1,0,0,1,112,1.00E+01,8.00E+03,3.31E+00,8.00E+03,4.44E-03,4.44E-03,1.47E-05,0.00E+00,0.00E+00,0.00E+00,4.44E-03,0,1.47E-05,0.00E+00,0.00E+00,0.00E+00,1.00E+01,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,4.44E-03,4.44E-03,0.00E+00,0.00E+00,8.00E+03,0.00E+00,2.65E+01,4.14E-01
1,1,0,1,1,0,1,112,1.00E+01,8.00E+03,3.31E+00,8.00E+03,4.44E-03,8.89E-03,2.94E-05,0.00E+00,0.00E+00,0.00E+00,8.89E-03,0,2.94E-05,0.00E+00,9.56E+06,0.00E+00,1.00E+01,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,8.89E-03,8.89E-03,0.00E+00,0.00E+00,8.00E+03,0.00E+00,2.65E+01,4.14E-01
1,1,0,1,0,0,1,112,4.00E+01,8.00E+03,3.56E+00,8.00E+03,6.67E+01,6.67E+01,2.32E-01,0.00E+00,0.00E+00,0.00E+00,6.67E+01,0,2.32E-01,0.00E+00,9.63E+08,0.00E+00,4.00E+01,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.83E-01,0.00E+00,6.67E+01,6.67E+01,0.00E+00,0.00E+00,8.00E+03,0.00E+00,2.85E+01,4.45E-01
1,1,0,1,0,0,1,112,7.00E+01,8.00E+03,3.63E+00,8.00E+03,6.67E+01,1.33E+02,4.72E-01,0.00E+00,0.00E+00,0.00E+00,1.33E+02,0,4.72E-01,0.00E+00,1.49E+09,0.00E+00,7.00E+01,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.67E-01,0.00E+00,1.33E+02,1.33E+02,0.00E+00,0.00E+00,8.00E+03,0.00E+00,2.90E+01,4.54E-01
1,1,0,1,0,0,1,112,1.00E+02,8.00E+03,3.66E+00,8.00E+03,6.67E+01,2.00E+02,7.15E-01,0.00E+00,0.00E+00,0.00E+00,2.00E+02,0,7.15E-01,0.00E+00,2.04E+09,0.00E+00,1.00E+02,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.50E-01,0.00E+00,2.00E+02,2.00E+02,0.00E+00,0.00E+00,8.00E+03,0.00E+00,2.93E+01,4.58E-01
1,1,0,1,0,0,1,112,1.30E+02,8.00E+03,3.69E+00,8.00E+03,6.67E+01,2.67E+02,9.60E-01,0.00E+00,0.00E+00,0.00E+00,2.67E+02,0,9.60E-01,0.00E+00,2.54E+09,0.00E+00,1.30E+02,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.33E-01,0.00E+00,2.67E+02,2.67E+02,0.00E+00,0.00E+00,8.00E+03,0.00E+00,2.95E+01,4.61E-01
1,1,0,1,0,0,1,112,1.60E+02,8.00E+03,3.71E+00,8.00E+03,6.67E+01,3.33E+02,1.21E+00,0.00E+00,0.00E+00,0.00E+00,3.33E+02,0,1.21E+00,0.00E+00,3.00E+09,0.00E+00,1.60E+02,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.17E-01,0.00E+00,3.33E+02,3.33E+02,0.00E+00,0.00E+00,8.00E+03,0.00E+00,2.97E+01,4.64E-01
1,1,0,1,0,0,1,112,1.90E+02,8.00E+03,3.73E+00,8.00E+03,6.67E+01,4.00E+02,1.45E+00,0.00E+00,0.00E+00,0.00E+00,4.00E+02,0,1.45E+00,0.00E+00,3.45E+09,0.00E+00,1.90E+02,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.00E-01,0.00E+00,4.00E+02,4.00E+02,0.00E+00,0.00E+00,8.00E+03,0.00E+00,2.98E+01,4.66E-01
1,1,0,1,0,0,1,112,2.20E+02,8.00E+03,3.74E+00,8.00E+03,6.67E+01,4.67E+02,1.70E+00,0.00E+00,0.00E+00,0.00E+00,4.67E+02,0,1.70E+00,0.00E+00,3.88E+09,0.00E+00,2.20E+02,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.83E-01,0.00E+00,4.67E+02,4.67E+02,0.00E+00,0.00E+00,8.00E+03,0.00E+00,2.99E+01,4.68E-01
1,1,0,1,0,0,1,112,2.50E+02,8.00E+03,3.75E+00,8.00E+03,6.67E+01,5.33E+02,1.95E+00,0.00E+00,0.00E+00,0.00E+00,5.33E+02,0,1.95E+00,0.00E+00,4.30E+09,0.00E+00,2.50E+02,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.67E-01,0.00E+00,5.33E+02,5.33E+02,0.00E+00,0.00E+00,8.00E+03,0.00E+00,3.00E+01,4.69E-01
1,1,0,1,0,0,1,112,2.80E+02,8.00E+03,3.77E+00,8.00E+03,6.67E+01,6.00E+02,2.20E+00,0.00E+00,0.00E+00,0.00E+00,6.00E+02,0,2.20E+00,0.00E+00,4.71E+09,0.00E+00,2.80E+02,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.50E-01,0.00E+00,6.00E+02,6.00E+02,0.00E+00,0.00E+00,8.00E+03,0.00E+00,3.01E+01,4.71E-01
1,1,0,1,0,0,1,112,3.10E+02,8.00E+03,3.78E+00,8.00E+03,6.67E+01,6.67E+02,2.46E+00,0.00E+00,0.00E+00,0.00E+00,6.67E+02,0,2.46E+00,0.00E+00,5.09E+09,0.00E+00,3.10E+02,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.33E-01,0.00E+00,6.67E+02,6.67E+02,0.00E+00,0.00E+00,8.00E+03,0.00E+00,3.02E+01,4.72E-01
1,1,0,1,0,0,1,112,3.40E+02,8.00E+03,3.79E+00,8.00E+03,6.67E+01,7.33E+02,2.71E+00,0.00E+00,0.00E+00,0.00E+00,7.33E+02,0,2.71E+00,0.00E+00,5.46E+09,0.00E+00,3.40E+02,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.17E-01,0.00E+00,7.33E+02,7.33E+02,0.00E+00,0.00E+00,8.00E+03,0.00E+00,3.03E+01,4.74E-01
1,1,0,1,0,0,1,112,3.70E+02,8.00E+03,3.80E+00,8.00E+03,6.67E+01,8.00E+02,2.96E+00,0.00E+00,0.00E+00,0.00E+00,8.00E+02,0,2.96E+00,0.00E+00,5.81E+09,0.00E+00,3.70E+02,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.00E-01,0.00E+00,8.00E+02,8.00E+02,0.00E+00,0.00E+00,8.00E+03,0.00E+00,3.04E+01,4.75E-01
